,id,name,hazardous,distance,orbiting body,velocity,date,diameter
10320,3653605,(2013 VJ11),False,45283858.157011424,Earth,11842.4338989453,1906-06-18,0.0097138403
10321,3653646,(2013 VK11),False,1216285.4584277166,Earth,19665.0831233509,2013-11-09,0.0153953994
10322,3653647,(2013 VO11),False,45547885.9521167138,Earth,56102.8376607486,1988-12-01,0.0080796204
10323,3653648,(2013 VP11),False,1454650.5258694594,Earth,36790.8022043829,2013-11-05,0.0280150214
10324,3653649,(2013 VQ11),False,5170687.6888754142,Earth,18638.3875171376,2013-11-01,0.0255500032
10325,3653650,(2013 VY11),False,1300637.1169994864,Earth,23785.2579542238,2013-10-26,0.0244000636
10326,3653652,(2013 VZ11),False,17162297.3676569692,Earth,41699.1524537893,2013-10-20,0.2801502144
10327,3653651,(2013 VA12),False,8479900.2903752246,Earth,20660.2760487278,1905-05-08,0.1065101409
10328,3653680,(2013 VP12),False,6428131.5520533942,Earth,21843.1888857544,2013-11-29,0.0486845275
10329,3653682,(2013 VR12),False,9012570.1696133218,Earth,12753.3783118394,2013-11-02,0.0404940262
10330,3653684,(2013 VD13),False,34872517.4538911576,Earth,37810.0980395641,1928-11-23,1.0899108079
10331,3653689,(2013 VE13),False,34504091.8110783606,Earth,44560.7082794586,1902-06-13,0.2277146434
10332,3653686,(2013 VF13),False,157936853.8238457444,Juptr,7169.1866109067,1902-05-14,0.1965128523
10333,3653685,(2013 VH13),False,3408027.3189961844,Earth,25762.9291108844,2013-10-25,0.0352688224
10334,3653688,(2013 VJ13),False,952062.7814751478,Earth,36230.6634868388,1970-10-29,0.0650715212
10335,3653690,(2013 VK13),False,1931448.7229940982,Earth,22987.3698335522,2013-11-19,0.0233018799
10336,3653691,(2013 VL13),False,3218152.8336659536,Earth,26616.548883941,2013-11-06,0.0424024508
10337,3653692,(2013 VM13),False,17244147.5018290536,Earth,4730.6364257037,1902-02-04,0.0531362571
10338,3653693,(2013 VN13),False,12854368.8692832816,Earth,21416.7277916609,2013-11-23,0.0558973165
10339,3653694,(2013 VO13),False,7731827.6308299868,Earth,35672.1862031078,1905-11-15,0.1040856741
10340,3653695,(2013 VP13),False,1369682.42157462,Earth,24927.9217451763,2013-10-28,0.0222531225
10341,3653696,(2013 VQ13),False,7612397.8253695748,Earth,32968.2445439635,2013-11-09,0.0486845275
10342,3653700,(2013 VV13),False,36437630.1434090164,Earth,50573.8182255705,1948-10-23,0.0558973165
10343,3653698,(2013 VW13),False,10110026.930595706,Earth,43830.8615654733,1916-11-13,0.021251567
10344,3653697,(2013 VX13),False,7585193.6952353552,Earth,33542.3264728964,2013-10-16,0.140407711
10345,3653699,(2013 VY13),True,14717909.3138256576,Earth,21960.0243982943,1906-08-09,0.2125156703
10346,3653701,(2013 VA14),False,42009066.0958462894,Earth,18886.0189733815,1900-06-17,0.3321933691
10347,3653702,(2013 VB14),False,44964634.6451183272,Earth,48429.2032235419,2011-11-06,0.2029508896
10348,3653760,(2013 VD17),False,169338927.890477541,Juptr,6086.1544108695,2005-03-01,0.0122290004
10349,3653806,(2013 WH),False,38293941.1267557738,Earth,25336.8337530877,1962-11-24,0.2029508896
10350,3653811,(2013 WL),False,42335280.7860219044,Earth,31679.6713583762,2000-11-13,0.0533815229
10351,3653812,(2013 WM),False,3539253.6252435428,Earth,81730.67015614,2007-11-20,0.0598950538
10352,3653813,(2013 WN),False,40867601.8346597418,Earth,36947.0270324445,1917-11-26,0.134088323
10353,3653827,(2013 WY),False,32896136.5621082916,Earth,34009.992941611,1984-01-13,0.020295089
10354,3653834,(2013 WH25),False,83185.2305269206,Earth,47079.8060778471,2013-11-29,0.0044400817
10355,3653902,(2013 WR43),True,42442060.338095163,Earth,50162.2246813223,1914-05-19,0.1619537316
10356,3653903,(2013 WS43),False,21532424.9197204068,Earth,29877.327036274,1926-03-18,0.1045661117
10357,3653905,(2013 WT43),False,8986455.4350475192,Venus,50397.0948772793,2013-09-02,0.1167860472
10358,3653906,(2013 WU43),False,23799241.133372104,Earth,45187.3786304168,1904-12-05,0.1539539936
10359,3653904,(2013 WV43),False,2262147.3781572188,Earth,19599.9988434973,2013-12-03,0.0161209622
10360,3653909,(2013 WX43),False,19365605.998033435,Earth,54177.5962088577,1931-11-07,0.1115298092
10361,3653907,(2013 WY43),False,13873433.089549138,Venus,16514.6860771585,1935-02-03,0.0168807197
10362,3653908,(2013 WZ43),False,8883778.9801378424,Earth,19538.4583338966,2013-11-29,0.0486845275
10363,3653910,(2013 WA44),False,24210713.3457445394,Earth,16910.002915735,1901-05-15,0.0782331756
10364,3653911,(2013 WB44),False,15265274.0465862006,Earth,17569.6009585965,1966-12-14,0.1065101409
10365,3653913,(2013 WC44),False,123758857.133889741,Juptr,7121.9444631097,1901-05-20,0.134088323
10366,3653912,(2013 WD44),False,5561599.8059386412,Earth,10861.3612630836,2013-12-23,0.0267541378
10367,3653915,(2013 WR44),False,34176810.2392305418,Earth,56914.809128351,1910-05-15,0.2933532873
10368,3653914,(2013 WS44),False,10541507.6664112876,Earth,13461.5448653626,1951-11-01,0.0377912241
