,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (miles)
5033,3339667,(2006 QV89),False,31926008.15,Earth,34365.09,1900-08-11,0.03
5034,3339668,(2006 QW89),False,135425467.93,Juptr,11604.34,1906-08-15,0.55
5035,3340061,(2006 QM111),False,253096.67,Moon,44603.33,2006-08-31,0.01
5036,3340060,(2006 QN111),False,1699256.13,Earth,24659.64,2006-08-21,0.06
5037,3341129,(2006 RZ),True,164814628.04,Juptr,9817.5,1911-06-27,0.32
5038,3341199,(2006 RJ1),False,1169916.26,Earth,20951.68,1936-12-21,0.13
5039,3341200,(2006 RK1),True,17570587.15,Earth,28423.76,1919-05-16,0.16
5040,3341510,(2006 RH2),False,24722006.54,Earth,20721.42,1903-09-29,0.01
5041,3342130,(2006 RH7),False,31054151.93,Earth,74479.42,1908-09-21,0.26
5042,3342129,(2006 RJ7),False,3714660.09,Earth,35264.54,2006-09-19,0.07
5043,3353656,(2006 RA55),False,5597631.56,Mars,26576.15,1927-07-11,0.43
5044,3403148,(2006 RH120),False,3989438.08,Earth,3875.81,1969-05-03,0.0
5045,3342248,(2006 SB),False,1056881.53,Earth,21933.6,1985-09-18,0.03
5046,3342249,(2006 SC),False,40393190.29,Earth,55554.61,1909-02-14,0.04
5047,3342316,(2006 SV5),False,44532956.72,Earth,11865.53,1907-07-17,0.09
5048,3342318,(2006 SY5),False,44808239.70,Earth,40621.32,1907-11-13,0.15
5049,3342319,(2006 SA6),False,23858714.91,Earth,17458.53,1925-06-30,0.53
5050,3342321,(2006 SD6),False,8095365.82,Mars,40217.36,1909-09-10,0.33
5051,3342322,(2006 SE6),False,42802930.08,Earth,39155.64,1900-02-26,0.09
5052,3343021,(2006 SA7),False,4232910.28,Mars,33911.65,2036-09-21,0.51
5053,3342643,(2006 SF7),False,25418940.28,Earth,41550.26,1901-09-18,0.12
5054,3342645,(2006 SG7),False,6718337.80,Venus,39871.89,1905-08-24,0.1
5055,3342644,(2006 SH7),False,27584218.72,Earth,18552.51,1920-12-08,0.39
5056,3343104,(2006 SP19),False,4050765.96,Earth,17132.71,1925-10-25,0.05
5057,3343101,(2006 SQ19),False,176922716.67,Juptr,4309.28,2004-11-30,0.08
5058,3343105,(2006 SR19),False,24898112.28,Earth,7695.06,1973-10-15,0.15
5059,3343102,(2006 SS19),False,25932966.11,Earth,14436.68,1901-07-28,0.61
5060,3343108,(2006 SD25),False,36804896.26,Earth,41407.67,1953-10-18,0.06
5061,3343490,(2006 SK61),False,39715069.05,Earth,11431.89,1957-06-19,0.02
5062,3344169,(2006 SF77),False,5806061.24,Earth,40571.63,1906-09-21,0.16
5063,3344170,(2006 SG77),False,19657297.89,Earth,14462.92,1926-11-02,0.27
5064,3344171,(2006 SO77),False,27267334.74,Earth,37237.83,1970-06-26,0.02
5065,3345236,(2006 SO78),False,16933279.35,Earth,34345.24,1908-09-20,0.59
5066,3345238,(2006 SR78),False,21632127.23,Earth,31314.87,1971-05-06,0.34
