,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (meters)
30216,54320174,(2022 UJ8),False,3922758.9400244644,Earth,22643.4275243029,2022-10-12,49.6638037128
30217,54320175,(2022 UK8),False,46182652.9020212704,Earth,41435.1437255689,1905-04-14,261.8424034921
30218,54320176,(2022 UL8),False,8393191.4956572292,Earth,34201.8191465409,2022-10-21,61.3818507339
30219,54320177,(2022 UM8),False,46425489.171618355,Earth,13220.7190195083,2001-07-13,163.696720474
30220,54320178,(2022 UN8),False,28548667.4897187064,Earth,44298.91315221,2019-11-13,27.9280091938
30221,54320179,(2022 UP8),False,12500458.7961298982,Earth,23422.6782132074,1902-02-02,120.792502496
30222,54320180,(2022 UQ8),False,23873265.9131542068,Earth,10232.1500640266,1963-04-17,13.5531416942
30223,54320183,(2022 UR8),False,45942200.3818176692,Earth,20215.9507375225,2019-05-14,30.2022973344
30224,54320181,(2022 UT8),False,43254486.6088883606,Earth,42243.2853266132,1905-10-16,114.2983546761
30225,54320182,(2022 UU8),False,42273191.568912524,Earth,36714.4605798924,1932-10-12,15.1370058502
30226,54320188,(2022 UX8),False,30460475.106388454,Earth,39179.3851256871,1905-06-05,288.4297003513
30227,54320185,(2022 UY8),False,39915660.7974037122,Earth,34893.2032088048,1951-11-04,299.2540100804
30228,54320184,(2022 UZ8),False,3054858.9216277138,Earth,23240.4139394312,2022-11-03,38.0224396088
30229,54320186,(2022 UA9),False,22619466.2522123284,Earth,7498.5911490039,2022-10-09,80.5452583346
30230,54320187,(2022 UB9),False,3908240.0518427766,Earth,14579.1119764117,2022-11-04,29.7879062798
30231,54320189,(2022 UC9),False,8955982.3001969558,Earth,36684.1773262711,2022-10-10,96.3917752536
30232,54320190,(2022 UD9),True,36115475.9394555128,Earth,47665.1279673816,1906-11-25,258.2497910326
30233,54320191,(2022 UE9),False,444937.6782783642,Moon,38126.7815606552,2022-10-21,33.5768521834
30234,54320192,(2022 UF9),False,7959703.9555370748,Earth,15395.4925504174,1970-11-03,13.9971616686
30235,54320193,(2022 UG9),False,17203850.9275385386,Earth,17401.4860628066,1901-10-28,70.8010957001
30236,54320194,(2022 UH9),False,39484202.0084539272,Earth,34275.61080412,1964-05-03,108.1533506775
30237,54320195,(2022 UK9),False,2122918.1812259994,Earth,15745.1712223514,1989-10-23,21.9806220506
30238,54320196,(2022 UL9),True,40664073.2476022024,Earth,70316.2627361174,1901-03-18,244.36554919
30239,54320197,(2022 UN9),False,3344397.0433526136,Earth,37638.1783052858,2022-10-20,61.9498100059
30240,54320199,(2022 UP9),False,182959749.208298797,Juptr,3737.2571139178,1968-01-04,231.2277636011
30241,54320198,(2022 UQ9),False,8952727.750108445,Mars,22681.3150636405,2016-04-24,30.905799213
30242,54320200,(2022 UU9),False,37935274.4027579838,Earth,53383.0137553927,2020-10-05,19.0563613233
30243,54320201,(2022 UV9),False,623766.9874192242,Earth,36857.539441653,2022-10-26,16.2944602362
30244,54320202,(2022 UW9),False,3483239.3768104222,Earth,20345.3453677944,2022-10-08,46.5628954805
30245,54320699,(2022 UY9),False,41648458.185047382,Earth,29633.0839438016,1906-07-26,534.6135707332
30246,54320700,(2022 UA10),False,2847418.6612978884,Earth,18137.5330103707,2022-10-27,92.0534307207
30247,54320702,(2022 UJ10),False,20692295.9038496056,Earth,24949.5676125461,1905-07-24,170.6239448846
30248,54320703,(2022 UK10),False,3663343.3796233796,Earth,26310.4249771435,2022-11-05,43.655601735
30249,54320704,(2022 UL10),False,4235608.5280736248,Earth,19734.9761257405,2022-10-18,33.5768521834
30250,54320705,(2022 UM10),False,5292395.2462237278,Earth,24809.9974818409,2022-11-08,43.2553647725
30251,54320707,(2022 UO10),False,1701273.164312342,Earth,21727.9164631963,1909-10-18,26.4265201422
30252,54320708,(2022 UP10),False,6559317.7292793024,Earth,31316.3010961836,2022-10-27,41.6907759952
30253,54320710,(2022 UQ10),False,34100538.8756422892,Earth,34680.7264358866,1911-11-06,71.7860370529
30254,54320709,(2022 UR10),False,932092.453572687,Earth,19709.228276244,2022-10-22,13.7416846762
30255,54320711,(2022 US10),False,44254147.5409639368,Earth,61972.8144048589,2018-11-24,31.4803809193
30256,54320713,(2022 UT10),False,18482842.5507600576,Earth,19037.4279854693,1901-08-29,26.5484994169
30257,54320712,(2022 UU10),False,44784906.4998113502,Earth,41679.6271282444,1944-01-11,17.2997560398
30258,54320715,(2022 UV10),False,45891522.0755163666,Earth,53531.4442943522,1919-11-24,14.0617696313
30259,54320716,(2022 UW10),False,2126261.6156562074,Earth,14628.1864586612,1924-11-16,34.9977382549
30260,54320714,(2022 UX10),False,45874729.0328364694,Earth,29472.1669518729,2019-04-15,41.1187571041
30261,54320717,(2022 UA11),False,14456498.661551556,Earth,32721.0102345536,2022-10-22,100.470827397
30262,54320718,(2022 UB11),False,29865769.3852647816,Earth,27369.2513498878,1902-07-27,52.4855773378
30263,54320719,(2022 UC11),False,3423730.4176684092,Earth,18200.6859515742,2022-10-20,35.8129403019
30264,54320720,(2022 UD11),False,2519471.3492630782,Earth,35672.8315728459,1976-10-30,63.1015429636
30265,54320721,(2022 UE11),False,27371684.0156396272,Earth,69176.7370485119,2004-10-31,252.3713081011
30266,54320722,(2022 UF11),False,17466570.9181136338,Earth,29328.7107267961,2017-10-14,13.4288857443
30267,54320723,(2022 UG11),False,7523531.7773749956,Earth,36533.7081947154,2022-10-22,46.1360042888
30268,54320724,(2022 UH11),False,9251429.1391390844,Earth,42219.2376551078,2022-10-01,130.6291132614
30269,54320725,(2022 UJ11),False,5387546.3523117074,Earth,12103.2428621766,2022-10-19,27.4182655787
30270,54320726,(2022 UK11),False,8376953.9661695686,Earth,28963.3160478036,2022-09-22,114.8259319105
30271,54320727,(2022 UL11),False,8787372.2549091566,Venus,47671.83472606,1900-10-14,8.7910343856
30272,54320728,(2022 UM11),False,9698944.2030504106,Venus,34873.7558905806,1917-08-08,70.4757942143
